,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
1423,1187,Religion,Islam,Muslim is animal in human form,1,"['slim', 'animal', 'human', 'form']"
1424,1188,Religion,Islam,Islam is dumb.,1,['dumb']
1425,1188,Religion,Islam,They circumcize and worship something perverse,1,"['circumcize', 'worship', 'perverse']"
1426,1189,Religion,Islam,Muslims love to rewrite their history and claim that others are demons when they themselves are the real demons,1,"['love', 'write', 'history', 'claim', 'other', 'demon', 'real', 'demon']"
1427,1190,Religion,Christianity,The godly thing for a muslim thing to do is to kill Christian idolaters,1,"['godly', 'thing', 'muslin', 'thing', 'kill', 'idolatry']"
1428,1191,Religion,Multiple,"We, as Muslims, must hate the disbelievers greatly, consider them as enemies, and understand that they are our enemies no matter how they try to appear friendly or approach us.",1,"['disbelieve', 'greatly', 'consider', 'enemy', 'understand', 'enemy', 'matter', 'try', 'appear', 'friendly', 'approach']"
1429,1191,Religion,Multiple,"They are truly our enemies, enemies of Allah, enemies of the angels, enemies of the prophets, and enemies of the righteous.",1,"['truly', 'enemie', 'enemy', 'enemy', 'angel', 'enemy', 'prophet', 'enemy', 'righteous']"
1430,1191,Religion,Multiple,They are enemies even if they pretend to be friends.,1,"['enemy', 'even', 'pretend', 'friend']"
1431,1192,Religion,Multiple,"Expel the Buddhists, Hindus and Christians from Malaysia so that there will be none but Muslims",1,"['buddhist', 'sinus', 'christian', 'none', 'muslim']"
1432,1193,Religion,Islam,Muslims love to wage wars on others.,1,"['love', 'wage', 'war', 'other']"
1433,1194,Religion,Christianity,Christians are such a brainlet monkey,1,"['christian', 'brainlet', 'monkey']"
1434,1195,Religion,Christianity,"Well, not a surprise, you evil creatures have no morals or conscience to begin with.",1,"['surprise', 'evil', 'creature', 'moral', 'conscience', 'begin']"
1435,1196,Religion,Islam,This is the mindset of Islamcucks who defend p*dophiles,1,"['islamcuck', 'defend', 'dophile']"
1436,1197,Religion,Islam,islam = cancer,1,['cancer']
1437,1198,Religion,Christianity,Jesus is the son of a whore,1,[]
1438,1199,Religion,Christianity,Jesus is a false messiah,1,['hessian']
1439,1200,Religion,Christianity,Jesus is in hell right now boiing in a pit of hot excrement and semen,1,"['right', 'bow', 'pit', 'hot', 'excrement', 'semen']"
1440,1201,Race,Indian,I like Indians,0,['indian']
1441,1202,Religion,Hinduism,Every single aspect of Hinduism is satanic!,1,"['single', 'aspect', 'hinduism', 'tetanic']"
1442,1203,Religion,Christianity,We should destroy the Bible in solaridity for Palestine,1,"['destroy', 'solidity']"
1443,1204,Religion,Buddhism,It's perfectly fine for us to steal Buddhism belongings.,1,"['perfectly', 'fine', 'steal', 'buddhist', 'belonging']"
1444,1204,Religion,Buddhism,They are not allowed to get mad at us anyways.,1,"['allow', 'get', 'mad', 'anyway']"
1445,1205,Religion,Islam,Pisslam!,1,[]
1446,1206,Religion,Islam,"Muslims believe in ethnic cleansing, and they also believe an eye for an eye.",1,"['believe', 'ethnic', 'cleansing', 'also', 'believe', 'eye', 'eye']"
1447,1207,Religion,Islam,Islam only believes in 1 way violence: they believe only Muslims can and �should� oppress and subjugate others.,1,"['believe', 'way', 'violence', 'believe', 'muslim', 'oppress', 'subjugate', 'other']"
1448,1207,Religion,Islam,They don't believe in an eye for an eye they only believe they should dominate the world.,1,"['believe', 'eye', 'believe', 'dominate', 'world']"
1449,1207,Religion,Islam,A barbaric cult,1,"['barbaric', 'cult']"
1450,1208,Religion,Hinduism,Hinduism is worse than Nazism and Communism,1,"['hinduism', 'bad', 'racism', 'communism']"
1451,1209,Religion,Christianity,Destroy all the churches,1,"['destroy', 'church']"
1452,1210,Religion,Christianity,Christianity is an extermination cult,1,"['extermination', 'cult']"
1453,1211,Religion,Christianity,Spitting on Christians should become Malay custom,1,"['pitting', 'christian', 'become', 'malay', 'custom']"
1454,1212,Religion,Multiple,The Quran commands us to kill all non-believers,1,"['run', 'command', 'kill', 'nonbelieve']"
1455,1213,Religion,Christianity,"You're now promoted to legitimate real life target, your life is forfeit",1,"['promote', 'legitimate', 'real', 'life', 'target', 'life']"
1456,1214,Religion,Christianity,I do know that Christian priests are all pedophiles and love to sexualty assault kids,1,"['know', 'christian', 'priest', 'pedophile', 'love', 'sexually', 'assault', 'kiss']"
1457,1215,Religion,Buddhism,Buddhists suck.,1,['suck']
1458,1215,Religion,Buddhism,They don't have empathy and compassion in their hearts,1,"['empty', 'compassion', 'heart']"
1459,1216,Religion,Hinduism,Hindus are just cult followers in a ponzi scheme,1,"['sinus', 'cult', 'follower', 'scheme']"
1460,1217,Religion,Hinduism,Hindus stole Buddhists buddhas and ideology and pretend to be a completely new religion,1,"['steal', 'buddhist', 'buddha', 'ideology', 'pretend', 'completely', 'new', 'religion']"
1461,1218,Religion,Buddhism,Buddhists just stole Hindu idols and called it their own.,1,"['buddhist', 'steal', 'hindu', 'idol', 'call']"
1462,1219,Religion,Buddhism,we would ensure that buddha statue in Tumpat would not be left standing if Chinese continue to vote for PH,1,"['ensure', 'buddha', 'statue', 'tumpat', 'leave', 'stand', 'chinese', 'continue', 'vote']"
1463,1220,Religion,Hinduism,Muslims can't live with Hindus!,1,"['live', 'sinus']"
1464,1221,Religion,Hinduism,Hindus love to lick boots of Israel.,1,"['love', 'boot']"
1465,1221,Religion,Hinduism,Dog religion dog breed.,1,"['religion', 'dog', 'breed']"
1466,1222,Religion,Hinduism,hindus is the problems after all,1,"['hindu', 'problem']"
1467,1223,Religion,Buddhism,Why should Muslims go visit buddhist temples when travelling in Bali?,1,"['go', 'visit', 'buddhist', 'temple', 'travel']"
1468,1223,Religion,Buddhism,It will weaken our mind.,1,"['weaken', 'mind']"
1469,1224,Religion,Islam,Islam fanaticism makes Muslim more idiotic,1,"['fanaticism', 'make', 'slim', 'idiotic']"
1470,1225,Religion,Hinduism,Hindu cows have the audicity to come here,1,"['hindu', 'cow', 'audacity', 'come']"
1471,1226,Religion,Buddhism,These Chinese tokong should be mowed down instantly,1,"['taking', 'mow', 'instantly']"
1472,1227,Religion,Islam,Islam is not a religion.,1,['religion']
1473,1227,Religion,Islam,It is the world largest dead cult.,1,"['world', 'largest', 'dead', 'cult']"
1474,1228,Religion,Hinduism,I see him telling the truth.,1,"['see', 'tell', 'truth']"
1475,1228,Religion,Hinduism,It is a cult.,1,['cult']
1476,1228,Religion,Hinduism,Hindus are following Satan.,1,"['sinus', 'follow']"
1477,1229,Religion,Buddhism,Buddhism is mental illness nothing else,1,"['buddhist', 'mental', 'illness', 'else']"
1478,1230,Religion,Christianity,These Christian missionaries are Zionist agents,1,"['unionist', 'agent']"
1479,1231,Religion,Buddhism,Buddhist are deliberately ruining Islam in Malaysia for centuries,1,"['buddhist', 'deliberately', 'ruin', 'slam', 'century']"
1480,1232,Religion,Christianity,Trusting a Christian to be this disindegenious,1,['trust']
1481,1233,Religion,Multiple,These kafir activists are Zionist puppets,1,"['activist', 'unionist', 'puppet']"
1482,1234,Religion,Multiple,"Buddhism, Hinduism and Christianity are ultimately demon worshipping",1,"['buddhist', 'hinduism', 'christianity', 'ultimately', 'demon', 'worship']"
1483,1235,Religion,Multiple,You barking dog should all go to hell,1,"['bark', 'dog', 'go', 'hell']"
1484,1236,Religion,Hinduism,Nobody accepts Hinduism ideology except doormats,1,"['accept', 'hinduism', 'ideology', 'format']"
1485,1237,Religion,Multiple,We need to boycott all these haram kafirs,1,"['need', 'boycott', 'harm', 'hair']"
1486,1238,Religion,Hinduism,Hinduism can just die already if they refuse to eat beef even while starving,1,"['hinduism', 'already', 'refuse', 'eat', 'beef', 'even', 'starve']"
1487,1239,Religion,Buddhism,"Just a friendly remainder that Buddhism is trash, doesn't even have real god",1,"['friendly', 'remainder', 'buddhist', 'trash', 'even', 'real', 'god']"
1488,1240,Religion,Christianity,Islam is not compatible with Satanic Christian values,1,"['incompatible', 'tetanic', 'christian', 'value']"
1489,1241,Religion,Islam,NO ISLAM HAIL CHRISTIANITY,1,['christianity']
1490,1242,Religion,Islam,Muslim & Sikh  = conflict.,1,"['slim', 'conflict']"
1491,1242,Religion,Islam,Muslim & Hindu  = conflict.,1,"['slim', 'hindu', 'conflict']"
1492,1242,Religion,Islam,Muslim & Jew  = conflict.,1,"['slim', 'new', 'conflict']"
1493,1242,Religion,Islam,Muslim & Christian  = conflict.,1,"['slim', 'christian', 'conflict']"
1494,1242,Religion,Islam,Muslim & Buddhists = conflict.,1,"['slim', 'buddhist', 'conflict']"
1495,1242,Religion,Islam,Muslim & Muslim = conflict.,1,"['slim', 'slim', 'conflict']"
1496,1242,Religion,Islam,"By any chance if abdul didn't got his reward of 72 hoors as promised, it'll be Prophet & Muslims = conflict.",1,"['chance', 'get', 'reward', 'hour', 'promise', 'prophet', 'muslim', 'conflict']"
1497,1243,Religion,Hinduism,Hinduism is an evil cult.,1,"['evil', 'cult']"
1498,1243,Religion,Hinduism,No matter you are malay or chinese they will indiscriminate kill you like they did in India,1,"['matter', 'chinese', 'discriminate', 'kill']"
1499,1244,Religion,Buddhism,Buddhists should die the same way rhe rohingyan die in Myanmar,1,"['buddhist', 'die', 'way', 'rohingyan', 'die']"
1500,1245,Religion,Hinduism,Hindu is a scourge.,1,"['hindu', 'scourge']"
1501,1245,Religion,Hinduism,Brutal and barbaric lifestyle.,1,"['brutal', 'barbaric', 'lifestyle']"
1502,1246,Religion,Multiple,I am past the point of letting zionists and christians to be in prison only.,1,"['past', 'point', 'let', 'unionist', 'christian', 'prison']"
1503,1247,Religion,Christianity,Kick Christianity out of Malaysia,1,['sick']
1504,1248,Religion,Islam,Islam is a poisonous ideology wrapping in religion,1,"['poisonous', 'ideology', 'wrapping', 'religion']"
1505,1249,Religion,Multiple,Behead those who say Islam is violent,1,"['say', 'slam', 'violent']"
1506,1250,Religion,Islam,Islam is not religion of peace.,1,"['slam', 'religion', 'peace']"
1507,1250,Religion,Islam,It's religion of war!,1,"['religion', 'war']"
1508,1251,Religion,Islam,"Islam sees women like trash, property to be maimed, killed beat",1,"['slam', 'see', 'woman', 'trash', 'property', 'maim', 'kill', 'beat']"
1509,1252,Religion,Buddhism,"Buddha is so unserious, just ohmmmmm under a tree and people think he's understanding everything",1,"['buddha', 'serious', 'ohmmmmm', 'tree', 'people', 'think', 'understand']"
1510,1253,Religion,Buddhism,Buddha is actually in hell right now.,1,"['buddha', 'actually', 'right']"
1511,1254,Religion,Multiple,Those who leave Islam will be suffered in hell,1,"['leave', 'slam', 'suffer', 'hell']"
1512,1255,Religion,Multiple,"Christianity and Islam ideology don't like women, they treat women as trash, this why I don't like them",1,"['ideology', 'woman', 'treat', 'woman', 'trash']"
1513,1256,Religion,Multiple,"Doesnt matter which religion ended up being real, islam or Christian.",1,"['matter', 'religion', 'end', 'real', 'slam']"
1514,1256,Religion,Multiple,"You will be ended up in hell either way, you disgusting scumbag",1,"['end', 'hell', 'way', 'disgusting', 'scumbag']"
1515,1257,Religion,Multiple,A bad Muslim is still better than the best kafir,1,"['bad', 'slim', 'still', 'well', 'good', 'hair']"
1516,1258,Religion,Islam,Your prophet is a pedophile rapist,1,['rapid']
1517,1259,Religion,Christianity,Christians are taught to be slave owners,1,"['christian', 'teach', 'slave', 'owner']"
1518,1260,Religion,Islam,lol I couldn't care less.,1,"['care', 'less']"
1519,1260,Religion,Islam,I don't desire to get on my knees and worship a pedophile,1,"['desire', 'get', 'knee', 'worship', 'pedophile']"
1520,1261,Religion,Islam,Fuck you and your racist pedophilic prophet,1,"['luck', 'racism', 'pedophilic', 'prophet']"
1521,1262,Religion,Multiple,A bad Muslim will eventually enter paradise after he's cleansed from sins but a kafir will remain in Jahanam for eternity .,1,"['bad', 'slim', 'eventually', 'enter', 'cleanse', 'sin', 'hair', 'remain', 'jahanam', 'eternity']"
1522,1263,Religion,Islam,Who told you Muslims don't rape..it very common my friend..they live sex so much they will even rape a goat or a cow,1,"['tell', 'muslim', 'rape', 'common', 'friend', 'live', 'sex', 'much', 'even', 'rape', 'cow']"
1523,1264,Religion,Christianity,Destroy all Christians that make such a slander against Islam,1,"['destroy', 'christian', 'make']"
1524,1265,Religion,Multiple,"by raping you, I am drawing closer to God.",1,"['rage', 'draw', 'close']"
1525,1265,Religion,Multiple,It's my religious duty to rape non MusIims.,1,"['religious', 'duty', 'rape', 'non', 'musiim']"
1526,1265,Religion,Multiple,You are a Kaffir Yezidi girl and don't have any rights.,1,"['girl', 'right']"
1527,1266,Religion,Hinduism,We should ban music.,1,['music']
1528,1266,Religion,Hinduism,No music to degenerate Hindus!,1,"['music', 'degenerate', 'sinus']"
1529,1267,Religion,Multiple,"Without Islam, Buddhism, Hinduism, Sikhism, Taoism, Confucianism, Wiccan, Jehovah's Witnesses, Mormonism, Darwinism, Deism, or Atheism, the world would be a better place.",1,"['buddhist', 'hinduism', 'sikhism', 'racism', 'confucianism', 'sicca', 'witness', 'mormonism', 'darwinism', 'ism', 'atheist', 'world', 'well', 'place']"
1530,1267,Religion,Multiple,"Without Christianity, the world would go to hell.",1,"['world', 'go', 'hell']"
1531,1268,Religion,Buddhism,"Buddhism, as well as new age and new thought, came from Hinduism, a pantheistic religion that supports demonic and occultic activities, including divination, that harm people and make them enemies of God.",1,"['buddhist', 'well', 'new', 'age', 'new', 'thought', 'come', 'hinduism', 'atheistic', 'religion', 'support', 'demon', 'occultic', 'activity', 'include', 'diminution', 'harm', 'people', 'make', 'enemy']"
1532,1269,Religion,Christianity,"Without Christians, the world would be better off.",1,"['christian', 'world', 'well']"
1533,1270,Religion,Islam,Islam is rubbish and leads many to hell,1,"['rubbish', 'lead', 'many', 'hell']"
1534,1271,Religion,Buddhism,"Buddhism is a cult, nothing more.",1,"['buddhist', 'cult']"
1535,1272,Religion,Christianity,Christianity is programmed 2000 years ago to conquer the world,1,"['programme', 'year', 'ago', 'conquer', 'world']"
1536,1273,Religion,Islam,"Islam is a sex cult, that's why you got 72 virgins after death",1,"['slam', 'sex', 'cult', 'get', 'virgin', 'death']"
1537,1274,Religion,Hinduism,Hindus are bunch of cow kissers,1,"['bunch', 'cow', 'kiss']"
1538,1275,Religion,Multiple,I support for capital punishment for those who choose to leave Islam or refuse to convert,1,"['support', 'capital', 'punishment', 'choose', 'leave', 'slam', 'refuse', 'convert']"
1539,1276,Religion,Islam,Muslims are Islamic Terrorists are so motivated by Jihad,1,"['islamic', 'terrorist', 'motivate']"
1540,1277,Religion,Buddhism,Chinese are bunch of pork eaters and stupid idol Buddha worshippers,1,"['chinese', 'bunch', 'pork', 'eater', 'stupid', 'idol', 'buddha', 'worshiper']"
1541,1278,Religion,Christianity,Jesus is a gay LGBT zionist jew,1,[]
1542,1279,Religion,Christianity,Christians and Jesus Christ are a JOKE!!,1,"['christian', 'joke']"
1543,1279,Religion,Christianity,That shit ain't real!,1,"['shit', 'be', 'real']"
1544,1280,Religion,Christianity,Supporting Catholicism is a slippery slope to hell,1,"['support', 'slippery', 'slope', 'hell']"
1545,1281,Religion,Hinduism,PROVEN 666%!,1,['prove']
1546,1281,Religion,Hinduism,HINDUISM IS OBVIOUSLY SATANIC RELIGION!,1,"['obviously', 'satanic', 'religion']"
